ID;place_name;x_value_epsg4326;y_value_epsg4326;percentage_a_ITS;percentage_a_GTS;percentage_a_eastern;percentage_a_african;percentage_a_local;percentage_a_unknown;percentage_a_aegean;percentage_a_western_med;percentage_a_pontic;percentage_a_adriatic;percentage_a_asiaminor;percentage_a_aegeanislands;percentage_a_egyptian;percentage_a_cyprus;percentage_a_iberian;percentage_b_ITS;percentage_b_GTS;percentage_b_eastern;percentage_b_african;percentage_b_local;percentage_b_unknown;percentage_b_aegean;percentage_b_western_med;percentage_b_pontic;percentage_b_adriatic;percentage_b_asiaminor;percentage_b_aegeanislands;percentage_b_egyptian;percentage_b_cyprus;percentage_b_iberian;percentage_c_ITS;percentage_c_GTS;percentage_c_eastern;percentage_c_african;percentage_c_local;percentage_c_unknown;percentage_c_aegean;percentage_c_western_med;percentage_c_pontic;percentage_c_adriatic;percentage_c_asiaminor;percentage_c_aegeanislands;percentage_c_egyptian;percentage_c_cyprus;percentage_c_iberian;percentage_d_ITS;percentage_d_GTS;percentage_d_eastern;percentage_d_african;percentage_d_local;percentage_d_unknown;percentage_d_aegean;percentage_d_western_med;percentage_d_pontic;percentage_d_adriatic;percentage_d_asiaminor;percentage_d_aegeanislands;percentage_d_egyptian;percentage_d_cyprus;percentage_d_iberian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Adria;12,0579053317;45,055647901230100;99,86;0;0,11;0;0;0;0,03;0;0;0;0;0;0;0;0;99,28;0,13;0,31;0;0;0,25;0,03;0;0;0;0;0;0;0;0;94,86;1,71;3,43;0;0;0;0;0;0;0;0;0;0;0;;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Akko;35,0772083970;32,926808794981600;0;0;31;0;0;58;9;0;0;0;0;0;2;0;0;0;0;43;0;0;43;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Albintimilium;7,5991415858;43,791536331173500;75;0;0;0;20;3;0;0;0;0;0;0;0;0;3;47;40;0;2;6;3;0;0;0;0;0;0;0;0;1;35;50;0;7;4;3;0;0;0;0;0;0;0;0;1;25;13;0;54;0;7;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Alexandria;29,8918863269;31,195830173057700;8;0;74;0;0;0;1;1;3;0;0;0;12;0;0;8;0;74;0;0;0;1;1;3;0;0;0;12;0;0;8;0;74;0;0;0;1;1;3;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Aquileia;13,3709460000;45,769630999999900;15;0;0;0;84;0;1;0;0;0;0;0;0;0;0;15;0;0;0;84;0;1;0;0;0;0;0;0;0;0;37;0;0;0;63;0;0;0;0;0;0;0;0;0;0;26;0;0;0;74;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Athens Agora;23,7239851818;37,972746545500000;7;0;23;0;0;8;50;11;1;0;0;0;0;0;0;23;0;11;0;0;3;52;10;1;0;0;0;0;0;0;15;0;6;0;0;3;62;12;1;0;0;0;0;0;0;8;0;11;4;0;1;70;6;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Berenice;20,0642500000;32,124519999999900;23;0;54;1;0;0;17;4;0;0;0;0;0;0;0;42;1;26;0;0;0;12;16;3;0;0;0;0;0;0;49;1;12;0;0;0;26;6;5;0;0;0;0;0;0;1;0;9;0;0;0;77;0;13;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Berytus;35,5098137386;33,891219700889700;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;31;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;21;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Butrint;20,0221397500;39,745475249999900;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;45;0;0;0;27;3;12;1;12;0;0;0;0;0;0;26;0;0;4;43;2;16;1;8;0;0;0;0;0;0;0;0;0;0;38;0;56;6;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Carthage;10,3272204500;36,853875250000000;20;0;24;1;0;54;0;1;0;0;0;0;0;0;0;29;0;0;44;0;21;0;6;0;0;0;0;0;0;0;8;0;0;60;0;27;0;6;0;0;0;0;0;0;0;51;0;0;15;0;29;0;5;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Corinth;22,879189000000000;37,906033000000000;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;28;0;16;0;44;0;12;0;0;0;0;0;0;0;0;28;0;2;0;42;8;20;0;0;0;0;0;0;0;0;37;0;0;0;32;4;27;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Gortyn;24,9469437222;35,062720166699900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;14;0;0;0;46;0;0;0;0;0;0;0;0;40;0;14;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Jerusalem;35,2321413236;31,778111135205800;0;0;48;0;0;52;0;0;0;0;0;0;0;0;0;15;0;69;0;0;16;0;0;0;0;0;0;0;0;0;22;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Karanis;30,9076973356;29,548001912187800;0;0;0;14;11;17;0;0;0;0;0;0;58;0;0;0;0;0;12;10;26;0;0;0;0;0;0;52;0;0;0;0;0;10;12;34;0;0;0;0;0;0;44;0;0;0;0;0;11;13;29;0;0;0;0;0;0;46;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Knidos;27,3740400000;36,686188000000000;3;0;6;0;87;0;4;0;0;0;0;0;0;0;0;3;0;6;0;87;0;4;0;0;0;0;0;0;0;0;2;0;5;0;86;2;6;0;0;0;0;0;0;0;0;1;0;3;0;85;3;8;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Knossos;25,1628226429;35,298098417610200;5;0;95;0;0;0;0;0;0;0;0;0;0;0;0;30;1;47;0;0;0;22;0;0;0;0;0;0;0;0;30;0;23;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Krk;14,5959742785;45,125314347378300;13;88;0;0;0;0;0;0;0;0;0;0;0;0;0;38;62;0;0;0;0;0;0;0;0;0;0;0;0;0;24;69;0;0;0;2;5;0;0;0;0;0;0;0;0;0;17;0;0;0;14;34;34;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Kyme;26,9719034522;38,803300455235200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;7;88;0;0;0;0;0;0;0;0;1;0;4;0;0;7;88;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;La Nautique;3,0063084968;43,142886361183700;9;0;0;0;0;74;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Leptis Magna;14,2905560000;32,639167000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;29;0;0;0;5;12;0;0;0;0;0;0;0;55;0;29;0;0;0;5;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Metaponto;16,8240630000;40,383868000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;4;44;0;0;3;18;0;0;0;0;0;0;0;31;0;4;44;0;0;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Monte Iato;13,1954903263;37,967777883156300;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;4;5;0;19;0;0;0;0;0;0;0;55;0;0;0;1;13;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Morgantina;14,4888799317;37,437381449165400;12;0;4;0;65;3;2;14;0;0;0;0;0;0;0;37;0;11;0;42;2;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Narbonne;3,0024350189;43,184650684661200;48;14;0;0;0;21;0;17;0;0;0;0;0;0;0;21;65;0;0;0;12;0;2;0;0;0;0;0;0;0;18;36;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Nea Paphos;32,4065930000;34,757212000000000;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;17;0;83;0;0;0;0;0;0;0;0;0;0;0;0;50;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;66;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Ostia Terme del Nuotatore;12,2880905000;41,751868999999900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;41;0;0;0;0;0;0;0;53;15;1;2;0;1;1;27;0;0;0;0;0;0;0;43;9;0;5;0;0;2;40;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Padova;11,8781002708;45,411802269653900;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;26;0;1;0;40;6;0;28;0;0;0;0;0;0;0;26;6;1;0;39;1;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Panayia Ematousa;33,5716873134;35,011574428526600;5;0;83;0;12;0;0;0;0;0;0;0;0;0;0;3;0;68;0;29;0;0;0;0;0;0;0;0;0;0;0;0;65;0;35;0;0;0;0;0;0;0;0;0;0;0;0;25;0;75;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Paphos;32,4065930000;34,757212000000000;9;0;25;0;56;9;1;0;0;0;0;0;0;0;0;14;0;13;0;58;11;4;0;0;0;0;0;0;0;0;14;0;24;0;28;7;27;0;0;0;0;0;0;0;0;25;0;28;2;24;11;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Prima Porta;12,4948769716;41,999252348180900;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,2;1,8;0;0;0;0;0;0;0;0;0;0;0;0;0;37,5;0;0;62,5;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Rome;12,4861685000;41,891737499999900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;2;0;0;0;41;0;0;0;0;0;0;0;0;1;43;0;0;28;0;21;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Sabratha;12,4838740999;32,790783685322000;31;0;62;7;0;0;0;0;0;0;0;0;0;0;0;41;0;44;12;0;2;0;0;0;0;0;0;0;0;0;28;0;27;39;0;4;1;0;0;0;0;0;0;0;0;11;0;23;64;0;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
